t,plant,axis,phytomer
67.000000,1,MS,1
67.000000,1,MS,2
67.000000,1,MS,3
67.000000,1,MS,4
67.000000,1,MS,5
67.000000,1,MS,6
68.000000,1,MS,1
68.000000,1,MS,2
68.000000,1,MS,3
68.000000,1,MS,4
68.000000,1,MS,5
68.000000,1,MS,6
69.000000,1,MS,1
69.000000,1,MS,2
69.000000,1,MS,3
69.000000,1,MS,4
69.000000,1,MS,5
69.000000,1,MS,6
70.000000,1,MS,1
70.000000,1,MS,2
70.000000,1,MS,3
70.000000,1,MS,4
70.000000,1,MS,5
70.000000,1,MS,6
71.000000,1,MS,1
71.000000,1,MS,2
71.000000,1,MS,3
71.000000,1,MS,4
71.000000,1,MS,5
71.000000,1,MS,6
72.000000,1,MS,1
72.000000,1,MS,2
72.000000,1,MS,3
72.000000,1,MS,4
72.000000,1,MS,5
72.000000,1,MS,6
73.000000,1,MS,1
73.000000,1,MS,2
73.000000,1,MS,3
73.000000,1,MS,4
73.000000,1,MS,5
73.000000,1,MS,6
74.000000,1,MS,1
74.000000,1,MS,2
74.000000,1,MS,3
74.000000,1,MS,4
74.000000,1,MS,5
74.000000,1,MS,6
75.000000,1,MS,1
75.000000,1,MS,2
75.000000,1,MS,3
75.000000,1,MS,4
75.000000,1,MS,5
75.000000,1,MS,6
76.000000,1,MS,1
76.000000,1,MS,2
76.000000,1,MS,3
76.000000,1,MS,4
76.000000,1,MS,5
76.000000,1,MS,6
77.000000,1,MS,1
77.000000,1,MS,2
77.000000,1,MS,3
77.000000,1,MS,4
77.000000,1,MS,5
77.000000,1,MS,6
78.000000,1,MS,1
78.000000,1,MS,2
78.000000,1,MS,3
78.000000,1,MS,4
78.000000,1,MS,5
78.000000,1,MS,6
79.000000,1,MS,1
79.000000,1,MS,2
79.000000,1,MS,3
79.000000,1,MS,4
79.000000,1,MS,5
79.000000,1,MS,6
80.000000,1,MS,1
80.000000,1,MS,2
80.000000,1,MS,3
80.000000,1,MS,4
80.000000,1,MS,5
80.000000,1,MS,6
81.000000,1,MS,1
81.000000,1,MS,2
81.000000,1,MS,3
81.000000,1,MS,4
81.000000,1,MS,5
81.000000,1,MS,6
82.000000,1,MS,1
82.000000,1,MS,2
82.000000,1,MS,3
82.000000,1,MS,4
82.000000,1,MS,5
82.000000,1,MS,6
83.000000,1,MS,1
83.000000,1,MS,2
83.000000,1,MS,3
83.000000,1,MS,4
83.000000,1,MS,5
83.000000,1,MS,6
84.000000,1,MS,1
84.000000,1,MS,2
84.000000,1,MS,3
84.000000,1,MS,4
84.000000,1,MS,5
84.000000,1,MS,6
85.000000,1,MS,1
85.000000,1,MS,2
85.000000,1,MS,3
85.000000,1,MS,4
85.000000,1,MS,5
85.000000,1,MS,6
86.000000,1,MS,1
86.000000,1,MS,2
86.000000,1,MS,3
86.000000,1,MS,4
86.000000,1,MS,5
86.000000,1,MS,6
87.000000,1,MS,1
87.000000,1,MS,2
87.000000,1,MS,3
87.000000,1,MS,4
87.000000,1,MS,5
87.000000,1,MS,6
88.000000,1,MS,1
88.000000,1,MS,2
88.000000,1,MS,3
88.000000,1,MS,4
88.000000,1,MS,5
88.000000,1,MS,6
89.000000,1,MS,1
89.000000,1,MS,2
89.000000,1,MS,3
89.000000,1,MS,4
89.000000,1,MS,5
89.000000,1,MS,6
90.000000,1,MS,1
90.000000,1,MS,2
90.000000,1,MS,3
90.000000,1,MS,4
90.000000,1,MS,5
90.000000,1,MS,6
91.000000,1,MS,1
91.000000,1,MS,2
91.000000,1,MS,3
91.000000,1,MS,4
91.000000,1,MS,5
91.000000,1,MS,6
92.000000,1,MS,1
92.000000,1,MS,2
92.000000,1,MS,3
92.000000,1,MS,4
92.000000,1,MS,5
92.000000,1,MS,6
93.000000,1,MS,1
93.000000,1,MS,2
93.000000,1,MS,3
93.000000,1,MS,4
93.000000,1,MS,5
93.000000,1,MS,6
94.000000,1,MS,1
94.000000,1,MS,2
94.000000,1,MS,3
94.000000,1,MS,4
94.000000,1,MS,5
94.000000,1,MS,6
95.000000,1,MS,1
95.000000,1,MS,2
95.000000,1,MS,3
95.000000,1,MS,4
95.000000,1,MS,5
95.000000,1,MS,6
96.000000,1,MS,1
96.000000,1,MS,2
96.000000,1,MS,3
96.000000,1,MS,4
96.000000,1,MS,5
96.000000,1,MS,6
97.000000,1,MS,1
97.000000,1,MS,2
97.000000,1,MS,3
97.000000,1,MS,4
97.000000,1,MS,5
97.000000,1,MS,6
98.000000,1,MS,1
98.000000,1,MS,2
98.000000,1,MS,3
98.000000,1,MS,4
98.000000,1,MS,5
98.000000,1,MS,6
99.000000,1,MS,1
99.000000,1,MS,2
99.000000,1,MS,3
99.000000,1,MS,4
99.000000,1,MS,5
99.000000,1,MS,6
100.000000,1,MS,1
100.000000,1,MS,2
100.000000,1,MS,3
100.000000,1,MS,4
100.000000,1,MS,5
100.000000,1,MS,6
101.000000,1,MS,1
101.000000,1,MS,2
101.000000,1,MS,3
101.000000,1,MS,4
101.000000,1,MS,5
101.000000,1,MS,6
102.000000,1,MS,1
102.000000,1,MS,2
102.000000,1,MS,3
102.000000,1,MS,4
102.000000,1,MS,5
102.000000,1,MS,6
103.000000,1,MS,1
103.000000,1,MS,2
103.000000,1,MS,3
103.000000,1,MS,4
103.000000,1,MS,5
103.000000,1,MS,6
104.000000,1,MS,1
104.000000,1,MS,2
104.000000,1,MS,3
104.000000,1,MS,4
104.000000,1,MS,5
104.000000,1,MS,6
105.000000,1,MS,1
105.000000,1,MS,2
105.000000,1,MS,3
105.000000,1,MS,4
105.000000,1,MS,5
105.000000,1,MS,6
106.000000,1,MS,1
106.000000,1,MS,2
106.000000,1,MS,3
106.000000,1,MS,4
106.000000,1,MS,5
106.000000,1,MS,6
107.000000,1,MS,1
107.000000,1,MS,2
107.000000,1,MS,3
107.000000,1,MS,4
107.000000,1,MS,5
107.000000,1,MS,6
108.000000,1,MS,1
108.000000,1,MS,2
108.000000,1,MS,3
108.000000,1,MS,4
108.000000,1,MS,5
108.000000,1,MS,6
109.000000,1,MS,1
109.000000,1,MS,2
109.000000,1,MS,3
109.000000,1,MS,4
109.000000,1,MS,5
109.000000,1,MS,6
110.000000,1,MS,1
110.000000,1,MS,2
110.000000,1,MS,3
110.000000,1,MS,4
110.000000,1,MS,5
110.000000,1,MS,6
111.000000,1,MS,1
111.000000,1,MS,2
111.000000,1,MS,3
111.000000,1,MS,4
111.000000,1,MS,5
111.000000,1,MS,6
112.000000,1,MS,1
112.000000,1,MS,2
112.000000,1,MS,3
112.000000,1,MS,4
112.000000,1,MS,5
112.000000,1,MS,6
113.000000,1,MS,1
113.000000,1,MS,2
113.000000,1,MS,3
113.000000,1,MS,4
113.000000,1,MS,5
113.000000,1,MS,6
114.000000,1,MS,1
114.000000,1,MS,2
114.000000,1,MS,3
114.000000,1,MS,4
114.000000,1,MS,5
114.000000,1,MS,6
115.000000,1,MS,1
115.000000,1,MS,2
115.000000,1,MS,3
115.000000,1,MS,4
115.000000,1,MS,5
115.000000,1,MS,6
116.000000,1,MS,1
116.000000,1,MS,2
116.000000,1,MS,3
116.000000,1,MS,4
116.000000,1,MS,5
116.000000,1,MS,6
117.000000,1,MS,1
117.000000,1,MS,2
117.000000,1,MS,3
117.000000,1,MS,4
117.000000,1,MS,5
