t,plant,axis,phytomer,organ,element,green_area
338.0,1.0,MS,1,Sheath,exposed,0.0006
338.0,1.0,MS,2,Internode,enclosed,0.0004
338.0,1.0,MS,2,Lamina,exposed,0.0034
338.0,1.0,MS,2,Sheath,exposed,0.0005
338.0,1.0,MS,3,Internode,enclosed,0.00025
338.0,1.0,MS,3,Lamina,exposed,0.00228
338.0,1.0,MS,3,Sheath,exposed,0.0003232
338.0,1.0,MS,4,Peduncle,exposed,0.000810959
338.0,1.0,MS,4,Peduncle,enclosed,0.00159
338.0,1.0,MS,5,Chaff,exposed,0.000546851166667
339.0,1.0,MS,1,Internode,exposed,0.000371
339.0,1.0,MS,1,Internode,enclosed,0.001129
339.0,1.0,MS,1,Lamina,exposed,0.00346
339.0,1.0,MS,1,Sheath,exposed,0.0006
339.0,1.0,MS,2,Internode,enclosed,0.0004
339.0,1.0,MS,2,Lamina,exposed,0.0034
339.0,1.0,MS,2,Sheath,exposed,0.0005
339.0,1.0,MS,3,Internode,enclosed,0.00025
339.0,1.0,MS,3,Lamina,exposed,0.00228
339.0,1.0,MS,3,Sheath,exposed,0.0003232
339.0,1.0,MS,4,Peduncle,exposed,0.000810959
339.0,1.0,MS,4,Peduncle,enclosed,0.00159
339.0,1.0,MS,5,Chaff,exposed,0.000545581
340.0,1.0,MS,1,Internode,exposed,0.000371
340.0,1.0,MS,1,Internode,enclosed,0.001129
340.0,1.0,MS,1,Lamina,exposed,0.00346
340.0,1.0,MS,1,Sheath,exposed,0.0006
340.0,1.0,MS,2,Internode,enclosed,0.0004
340.0,1.0,MS,2,Lamina,exposed,0.0034
340.0,1.0,MS,2,Sheath,exposed,0.0005
340.0,1.0,MS,3,Internode,enclosed,0.00025
340.0,1.0,MS,3,Lamina,exposed,0.00228
340.0,1.0,MS,3,Sheath,exposed,0.0003232
340.0,1.0,MS,4,Peduncle,exposed,0.000810959
340.0,1.0,MS,4,Peduncle,enclosed,0.00159
340.0,1.0,MS,5,Chaff,exposed,0.0005440778
341.0,1.0,MS,1,Internode,exposed,0.000371
341.0,1.0,MS,1,Internode,enclosed,0.001129
341.0,1.0,MS,1,Lamina,exposed,0.00346
341.0,1.0,MS,1,Sheath,exposed,0.0006
341.0,1.0,MS,2,Internode,enclosed,0.0004
341.0,1.0,MS,2,Lamina,exposed,0.0034
341.0,1.0,MS,2,Sheath,exposed,0.0005
341.0,1.0,MS,3,Internode,enclosed,0.00025
341.0,1.0,MS,3,Lamina,exposed,0.00228
341.0,1.0,MS,3,Sheath,exposed,0.0003232
341.0,1.0,MS,4,Peduncle,exposed,0.000810959
341.0,1.0,MS,4,Peduncle,enclosed,0.00159
341.0,1.0,MS,5,Chaff,exposed,0.0005425746
342.0,1.0,MS,1,Internode,exposed,0.000371
342.0,1.0,MS,1,Internode,enclosed,0.001129
342.0,1.0,MS,1,Lamina,exposed,0.00346
342.0,1.0,MS,1,Sheath,exposed,0.0006
342.0,1.0,MS,2,Internode,enclosed,0.0004
342.0,1.0,MS,2,Lamina,exposed,0.0034
342.0,1.0,MS,2,Sheath,exposed,0.0005
342.0,1.0,MS,3,Internode,enclosed,0.00025
342.0,1.0,MS,3,Lamina,exposed,0.00228
342.0,1.0,MS,3,Sheath,exposed,0.0003232
342.0,1.0,MS,4,Peduncle,exposed,0.000810959
342.0,1.0,MS,4,Peduncle,enclosed,0.00159
342.0,1.0,MS,5,Chaff,exposed,0.0005410714
343.0,1.0,MS,1,Internode,exposed,0.000371
343.0,1.0,MS,1,Internode,enclosed,0.001129
343.0,1.0,MS,1,Lamina,exposed,0.00346
343.0,1.0,MS,1,Sheath,exposed,0.0006
343.0,1.0,MS,2,Internode,enclosed,0.0004
343.0,1.0,MS,2,Lamina,exposed,0.0034
343.0,1.0,MS,2,Sheath,exposed,0.0005
343.0,1.0,MS,3,Internode,enclosed,0.00025
343.0,1.0,MS,3,Lamina,exposed,0.00228
343.0,1.0,MS,3,Sheath,exposed,0.0003232
343.0,1.0,MS,4,Peduncle,exposed,0.000810959
343.0,1.0,MS,4,Peduncle,enclosed,0.00159
343.0,1.0,MS,5,Chaff,exposed,0.0005395682
344.0,1.0,MS,1,Internode,exposed,0.000371
344.0,1.0,MS,1,Internode,enclosed,0.001129
344.0,1.0,MS,1,Lamina,exposed,0.00346
344.0,1.0,MS,1,Sheath,exposed,0.0006
344.0,1.0,MS,2,Internode,enclosed,0.0004
344.0,1.0,MS,2,Lamina,exposed,0.0034
344.0,1.0,MS,2,Sheath,exposed,0.0005
344.0,1.0,MS,3,Internode,enclosed,0.00025
344.0,1.0,MS,3,Lamina,exposed,0.00228
344.0,1.0,MS,3,Sheath,exposed,0.0003232
344.0,1.0,MS,4,Peduncle,exposed,0.000810959
344.0,1.0,MS,4,Peduncle,enclosed,0.00159
344.0,1.0,MS,5,Chaff,exposed,0.000538065
345.0,1.0,MS,1,Internode,exposed,0.000371
345.0,1.0,MS,1,Internode,enclosed,0.001129
345.0,1.0,MS,1,Lamina,exposed,0.00346
345.0,1.0,MS,1,Sheath,exposed,0.0006
345.0,1.0,MS,2,Internode,enclosed,0.0004
345.0,1.0,MS,2,Lamina,exposed,0.0034
345.0,1.0,MS,2,Sheath,exposed,0.0005
345.0,1.0,MS,3,Internode,enclosed,0.00025
345.0,1.0,MS,3,Lamina,exposed,0.00228
345.0,1.0,MS,3,Sheath,exposed,0.0003232
345.0,1.0,MS,4,Peduncle,exposed,0.000810959
345.0,1.0,MS,4,Peduncle,enclosed,0.00159
345.0,1.0,MS,5,Chaff,exposed,0.0005365824
346.0,1.0,MS,1,Internode,exposed,0.000371
346.0,1.0,MS,1,Internode,enclosed,0.001129
346.0,1.0,MS,1,Lamina,exposed,0.00346
346.0,1.0,MS,1,Sheath,exposed,0.0006
346.0,1.0,MS,2,Internode,enclosed,0.0004
346.0,1.0,MS,2,Lamina,exposed,0.0034
346.0,1.0,MS,2,Sheath,exposed,0.0005
346.0,1.0,MS,3,Internode,enclosed,0.00025
346.0,1.0,MS,3,Lamina,exposed,0.00228
346.0,1.0,MS,3,Sheath,exposed,0.0003232
346.0,1.0,MS,4,Peduncle,exposed,0.000810959
346.0,1.0,MS,4,Peduncle,enclosed,0.00159
346.0,1.0,MS,5,Chaff,exposed,0.0005350998
347.0,1.0,MS,1,Internode,exposed,0.000371
347.0,1.0,MS,1,Internode,enclosed,0.001129
347.0,1.0,MS,1,Lamina,exposed,0.00346
347.0,1.0,MS,1,Sheath,exposed,0.0006
347.0,1.0,MS,2,Internode,enclosed,0.0004
347.0,1.0,MS,2,Lamina,exposed,0.0034
347.0,1.0,MS,2,Sheath,exposed,0.0005
347.0,1.0,MS,3,Internode,enclosed,0.00025
347.0,1.0,MS,3,Lamina,exposed,0.00228
347.0,1.0,MS,3,Sheath,exposed,0.0003232
347.0,1.0,MS,4,Peduncle,exposed,0.000810959
347.0,1.0,MS,4,Peduncle,enclosed,0.00159
347.0,1.0,MS,5,Chaff,exposed,0.0005336172
348.0,1.0,MS,1,Internode,exposed,0.000371
348.0,1.0,MS,1,Internode,enclosed,0.001129
348.0,1.0,MS,1,Lamina,exposed,0.00346
348.0,1.0,MS,1,Sheath,exposed,0.0006
348.0,1.0,MS,2,Internode,enclosed,0.0004
348.0,1.0,MS,2,Lamina,exposed,0.0034
348.0,1.0,MS,2,Sheath,exposed,0.0005
348.0,1.0,MS,3,Internode,enclosed,0.00025
348.0,1.0,MS,3,Lamina,exposed,0.00228
348.0,1.0,MS,3,Sheath,exposed,0.0003232
348.0,1.0,MS,4,Peduncle,exposed,0.000810959
348.0,1.0,MS,4,Peduncle,enclosed,0.00159
348.0,1.0,MS,5,Chaff,exposed,0.0005321346
349.0,1.0,MS,1,Internode,exposed,0.000371
349.0,1.0,MS,1,Internode,enclosed,0.001129
349.0,1.0,MS,1,Lamina,exposed,0.00346
349.0,1.0,MS,1,Sheath,exposed,0.0006
349.0,1.0,MS,2,Internode,enclosed,0.0004
349.0,1.0,MS,2,Lamina,exposed,0.0034
349.0,1.0,MS,2,Sheath,exposed,0.0005
349.0,1.0,MS,3,Internode,enclosed,0.00025
349.0,1.0,MS,3,Lamina,exposed,0.00228
349.0,1.0,MS,3,Sheath,exposed,0.0003232
349.0,1.0,MS,4,Peduncle,exposed,0.000810959
349.0,1.0,MS,4,Peduncle,enclosed,0.00159
349.0,1.0,MS,5,Chaff,exposed,0.000530652
350.0,1.0,MS,1,Internode,exposed,0.000371
350.0,1.0,MS,1,Internode,enclosed,0.001129
350.0,1.0,MS,1,Lamina,exposed,0.00346
350.0,1.0,MS,1,Sheath,exposed,0.0006
350.0,1.0,MS,2,Internode,enclosed,0.0004
350.0,1.0,MS,2,Lamina,exposed,0.0034
350.0,1.0,MS,2,Sheath,exposed,0.0005
350.0,1.0,MS,3,Internode,enclosed,0.00025
350.0,1.0,MS,3,Lamina,exposed,0.00228
350.0,1.0,MS,3,Sheath,exposed,0.0003232
350.0,1.0,MS,4,Peduncle,exposed,0.000810959
350.0,1.0,MS,4,Peduncle,enclosed,0.00159
350.0,1.0,MS,5,Chaff,exposed,0.000529406
351.0,1.0,MS,1,Internode,exposed,0.000371
351.0,1.0,MS,1,Internode,enclosed,0.001129
351.0,1.0,MS,1,Lamina,exposed,0.00346
351.0,1.0,MS,1,Sheath,exposed,0.0006
351.0,1.0,MS,2,Internode,enclosed,0.0004
351.0,1.0,MS,2,Lamina,exposed,0.0034
351.0,1.0,MS,2,Sheath,exposed,0.0005
351.0,1.0,MS,3,Internode,enclosed,0.00025
351.0,1.0,MS,3,Lamina,exposed,0.00228
351.0,1.0,MS,3,Sheath,exposed,0.0003232
351.0,1.0,MS,4,Peduncle,exposed,0.000810959
351.0,1.0,MS,4,Peduncle,enclosed,0.00159
351.0,1.0,MS,5,Chaff,exposed,0.00052816
352.0,1.0,MS,1,Internode,exposed,0.000371
352.0,1.0,MS,1,Internode,enclosed,0.001129
352.0,1.0,MS,1,Lamina,exposed,0.00346
352.0,1.0,MS,1,Sheath,exposed,0.0006
352.0,1.0,MS,2,Internode,enclosed,0.0004
352.0,1.0,MS,2,Lamina,exposed,0.0034
352.0,1.0,MS,2,Sheath,exposed,0.0005
352.0,1.0,MS,3,Internode,enclosed,0.00025
352.0,1.0,MS,3,Lamina,exposed,0.00228
352.0,1.0,MS,3,Sheath,exposed,0.0003232
352.0,1.0,MS,4,Peduncle,exposed,0.000810959
352.0,1.0,MS,4,Peduncle,enclosed,0.00159
352.0,1.0,MS,5,Chaff,exposed,0.000526914
353.0,1.0,MS,1,Internode,exposed,0.000371
353.0,1.0,MS,1,Internode,enclosed,0.001129
353.0,1.0,MS,1,Lamina,exposed,0.00346
353.0,1.0,MS,1,Sheath,exposed,0.0006
353.0,1.0,MS,2,Internode,enclosed,0.0004
353.0,1.0,MS,2,Lamina,exposed,0.0034
353.0,1.0,MS,2,Sheath,exposed,0.0005
353.0,1.0,MS,3,Internode,enclosed,0.00025
353.0,1.0,MS,3,Lamina,exposed,0.00228
353.0,1.0,MS,3,Sheath,exposed,0.0003232
353.0,1.0,MS,4,Peduncle,exposed,0.000810959
353.0,1.0,MS,4,Peduncle,enclosed,0.00159
353.0,1.0,MS,5,Chaff,exposed,0.000525668
354.0,1.0,MS,1,Internode,exposed,0.000371
354.0,1.0,MS,1,Internode,enclosed,0.001129
354.0,1.0,MS,1,Lamina,exposed,0.00346
354.0,1.0,MS,1,Sheath,exposed,0.0006
354.0,1.0,MS,2,Internode,enclosed,0.0004
354.0,1.0,MS,2,Lamina,exposed,0.0034
354.0,1.0,MS,2,Sheath,exposed,0.0005
354.0,1.0,MS,3,Internode,enclosed,0.00025
354.0,1.0,MS,3,Lamina,exposed,0.00228
354.0,1.0,MS,3,Sheath,exposed,0.0003232
354.0,1.0,MS,4,Peduncle,exposed,0.000810959
354.0,1.0,MS,4,Peduncle,enclosed,0.00159
354.0,1.0,MS,5,Chaff,exposed,0.000524422
355.0,1.0,MS,1,Internode,exposed,0.000371
355.0,1.0,MS,1,Internode,enclosed,0.001129
355.0,1.0,MS,1,Lamina,exposed,0.00346
355.0,1.0,MS,1,Sheath,exposed,0.0006
355.0,1.0,MS,2,Internode,enclosed,0.0004
355.0,1.0,MS,2,Lamina,exposed,0.0034
355.0,1.0,MS,2,Sheath,exposed,0.0005
355.0,1.0,MS,3,Internode,enclosed,0.00025
355.0,1.0,MS,3,Lamina,exposed,0.00228
355.0,1.0,MS,3,Sheath,exposed,0.0003232
355.0,1.0,MS,4,Peduncle,exposed,0.000810959
355.0,1.0,MS,4,Peduncle,enclosed,0.00159
355.0,1.0,MS,5,Chaff,exposed,0.000523176
356.0,1.0,MS,1,Internode,exposed,0.000371
356.0,1.0,MS,1,Internode,enclosed,0.001129
356.0,1.0,MS,1,Lamina,exposed,0.00346
356.0,1.0,MS,1,Sheath,exposed,0.0006
356.0,1.0,MS,2,Internode,enclosed,0.0004
356.0,1.0,MS,2,Lamina,exposed,0.0034
356.0,1.0,MS,2,Sheath,exposed,0.0005
356.0,1.0,MS,3,Internode,enclosed,0.00025
356.0,1.0,MS,3,Lamina,exposed,0.00228
356.0,1.0,MS,3,Sheath,exposed,0.0003232
356.0,1.0,MS,4,Peduncle,exposed,0.000810959
356.0,1.0,MS,4,Peduncle,enclosed,0.00159
356.0,1.0,MS,5,Chaff,exposed,0.00052193
357.0,1.0,MS,1,Internode,exposed,0.000371
357.0,1.0,MS,1,Internode,enclosed,0.001129
357.0,1.0,MS,1,Lamina,exposed,0.00346
357.0,1.0,MS,1,Sheath,exposed,0.0006
357.0,1.0,MS,2,Internode,enclosed,0.0004
357.0,1.0,MS,2,Lamina,exposed,0.0034
357.0,1.0,MS,2,Sheath,exposed,0.0005
357.0,1.0,MS,3,Internode,enclosed,0.00025
357.0,1.0,MS,3,Lamina,exposed,0.00228
357.0,1.0,MS,3,Sheath,exposed,0.0003232
357.0,1.0,MS,4,Peduncle,exposed,0.000810959
357.0,1.0,MS,4,Peduncle,enclosed,0.00159
357.0,1.0,MS,5,Chaff,exposed,0.000520499166667
358.0,1.0,MS,1,Internode,exposed,0.000371
358.0,1.0,MS,1,Internode,enclosed,0.001129
358.0,1.0,MS,1,Lamina,exposed,0.00346
358.0,1.0,MS,1,Sheath,exposed,0.0006
358.0,1.0,MS,2,Internode,enclosed,0.0004
358.0,1.0,MS,2,Lamina,exposed,0.0034
358.0,1.0,MS,2,Sheath,exposed,0.0005
358.0,1.0,MS,3,Internode,enclosed,0.00025
358.0,1.0,MS,3,Lamina,exposed,0.00228
358.0,1.0,MS,3,Sheath,exposed,0.0003232
358.0,1.0,MS,4,Peduncle,exposed,0.000810959
358.0,1.0,MS,4,Peduncle,enclosed,0.00159
358.0,1.0,MS,5,Chaff,exposed,0.000519068333333
359.0,1.0,MS,1,Internode,exposed,0.000371
359.0,1.0,MS,1,Internode,enclosed,0.001129
359.0,1.0,MS,1,Lamina,exposed,0.00346
359.0,1.0,MS,1,Sheath,exposed,0.0006
359.0,1.0,MS,2,Internode,enclosed,0.0004
359.0,1.0,MS,2,Lamina,exposed,0.0034
359.0,1.0,MS,2,Sheath,exposed,0.0005
359.0,1.0,MS,3,Internode,enclosed,0.00025
359.0,1.0,MS,3,Lamina,exposed,0.00228
359.0,1.0,MS,3,Sheath,exposed,0.0003232
359.0,1.0,MS,4,Peduncle,exposed,0.000810959
359.0,1.0,MS,4,Peduncle,enclosed,0.00159
359.0,1.0,MS,5,Chaff,exposed,0.0005176375
360.0,1.0,MS,1,Internode,exposed,0.000371
360.0,1.0,MS,1,Internode,enclosed,0.001129
360.0,1.0,MS,1,Lamina,exposed,0.00346
360.0,1.0,MS,1,Sheath,exposed,0.0006
360.0,1.0,MS,2,Internode,enclosed,0.0004
360.0,1.0,MS,2,Lamina,exposed,0.0034
360.0,1.0,MS,2,Sheath,exposed,0.0005
360.0,1.0,MS,3,Internode,enclosed,0.00025
360.0,1.0,MS,3,Lamina,exposed,0.00228
360.0,1.0,MS,3,Sheath,exposed,0.0003232
360.0,1.0,MS,4,Peduncle,exposed,0.000810959
360.0,1.0,MS,4,Peduncle,enclosed,0.00159
360.0,1.0,MS,5,Chaff,exposed,0.000516206666667
361.0,1.0,MS,1,Internode,exposed,0.000371
361.0,1.0,MS,1,Internode,enclosed,0.001129
361.0,1.0,MS,1,Lamina,exposed,0.00346
361.0,1.0,MS,1,Sheath,exposed,0.0006
361.0,1.0,MS,2,Internode,enclosed,0.0004
361.0,1.0,MS,2,Lamina,exposed,0.0034
361.0,1.0,MS,2,Sheath,exposed,0.0005
361.0,1.0,MS,3,Internode,enclosed,0.00025
361.0,1.0,MS,3,Lamina,exposed,0.00228
361.0,1.0,MS,3,Sheath,exposed,0.0003232
361.0,1.0,MS,4,Peduncle,exposed,0.000810959
361.0,1.0,MS,4,Peduncle,enclosed,0.00159
361.0,1.0,MS,5,Chaff,exposed,0.000514775833333
362.0,1.0,MS,1,Internode,exposed,0.000371
362.0,1.0,MS,1,Internode,enclosed,0.001129
362.0,1.0,MS,1,Lamina,exposed,0.00346
362.0,1.0,MS,1,Sheath,exposed,0.0006
362.0,1.0,MS,2,Internode,enclosed,0.0004
362.0,1.0,MS,2,Lamina,exposed,0.0034
362.0,1.0,MS,2,Sheath,exposed,0.0005
362.0,1.0,MS,3,Internode,enclosed,0.00025
362.0,1.0,MS,3,Lamina,exposed,0.00228
362.0,1.0,MS,3,Sheath,exposed,0.0003232
362.0,1.0,MS,4,Peduncle,exposed,0.000810959
362.0,1.0,MS,4,Peduncle,enclosed,0.00159
362.0,1.0,MS,5,Chaff,exposed,0.000513345
363.0,1.0,MS,1,Internode,exposed,0.000371
363.0,1.0,MS,1,Internode,enclosed,0.001129
363.0,1.0,MS,1,Lamina,exposed,0.00346
363.0,1.0,MS,1,Sheath,exposed,0.0006
363.0,1.0,MS,2,Internode,enclosed,0.0004
363.0,1.0,MS,2,Lamina,exposed,0.0034
363.0,1.0,MS,2,Sheath,exposed,0.0005
363.0,1.0,MS,3,Internode,enclosed,0.00025
363.0,1.0,MS,3,Lamina,exposed,0.00228
363.0,1.0,MS,3,Sheath,exposed,0.0003232
363.0,1.0,MS,4,Peduncle,exposed,0.000810959
363.0,1.0,MS,4,Peduncle,enclosed,0.00159
363.0,1.0,MS,5,Chaff,exposed,0.000512137714286
364.0,1.0,MS,1,Internode,exposed,0.000371
364.0,1.0,MS,1,Internode,enclosed,0.001129
364.0,1.0,MS,1,Lamina,exposed,0.00346
364.0,1.0,MS,1,Sheath,exposed,0.0006
364.0,1.0,MS,2,Internode,enclosed,0.0004
364.0,1.0,MS,2,Lamina,exposed,0.0034
364.0,1.0,MS,2,Sheath,exposed,0.0005
364.0,1.0,MS,3,Internode,enclosed,0.00025
364.0,1.0,MS,3,Lamina,exposed,0.00228
364.0,1.0,MS,3,Sheath,exposed,0.0003232
364.0,1.0,MS,4,Peduncle,exposed,0.000810959
364.0,1.0,MS,4,Peduncle,enclosed,0.00159
364.0,1.0,MS,5,Chaff,exposed,0.000510930428571
365.0,1.0,MS,1,Internode,exposed,0.000371
365.0,1.0,MS,1,Internode,enclosed,0.001129
365.0,1.0,MS,1,Lamina,exposed,0.00346
365.0,1.0,MS,1,Sheath,exposed,0.0006
365.0,1.0,MS,2,Internode,enclosed,0.0004
365.0,1.0,MS,2,Lamina,exposed,0.0034
365.0,1.0,MS,2,Sheath,exposed,0.0005
365.0,1.0,MS,3,Internode,enclosed,0.00025
365.0,1.0,MS,3,Lamina,exposed,0.00228
365.0,1.0,MS,3,Sheath,exposed,0.0003232
365.0,1.0,MS,4,Peduncle,exposed,0.000810959
365.0,1.0,MS,4,Peduncle,enclosed,0.00159
365.0,1.0,MS,5,Chaff,exposed,0.000509723142857
366.0,1.0,MS,1,Internode,exposed,0.000371
366.0,1.0,MS,1,Internode,enclosed,0.001129
366.0,1.0,MS,1,Lamina,exposed,0.00346
366.0,1.0,MS,1,Sheath,exposed,0.0006
366.0,1.0,MS,2,Internode,enclosed,0.0004
366.0,1.0,MS,2,Lamina,exposed,0.0034
366.0,1.0,MS,2,Sheath,exposed,0.0005
366.0,1.0,MS,3,Internode,enclosed,0.00025
366.0,1.0,MS,3,Lamina,exposed,0.00228
366.0,1.0,MS,3,Sheath,exposed,0.0003232
366.0,1.0,MS,4,Peduncle,exposed,0.000810959
366.0,1.0,MS,4,Peduncle,enclosed,0.00159
366.0,1.0,MS,5,Chaff,exposed,0.000508515857143
367.0,1.0,MS,1,Internode,exposed,0.000371
367.0,1.0,MS,1,Internode,enclosed,0.001129
367.0,1.0,MS,1,Lamina,exposed,0.00346
367.0,1.0,MS,1,Sheath,exposed,0.0006
367.0,1.0,MS,2,Internode,enclosed,0.0004
367.0,1.0,MS,2,Lamina,exposed,0.0034
367.0,1.0,MS,2,Sheath,exposed,0.0005
367.0,1.0,MS,3,Internode,enclosed,0.00025
367.0,1.0,MS,3,Lamina,exposed,0.00228
367.0,1.0,MS,3,Sheath,exposed,0.0003232
367.0,1.0,MS,4,Peduncle,exposed,0.000810959
367.0,1.0,MS,4,Peduncle,enclosed,0.00159
367.0,1.0,MS,5,Chaff,exposed,0.000507308571429
368.0,1.0,MS,1,Internode,exposed,0.000371
368.0,1.0,MS,1,Internode,enclosed,0.001129
368.0,1.0,MS,1,Lamina,exposed,0.00346
368.0,1.0,MS,1,Sheath,exposed,0.0006
368.0,1.0,MS,2,Internode,enclosed,0.0004
368.0,1.0,MS,2,Lamina,exposed,0.0034
368.0,1.0,MS,2,Sheath,exposed,0.0005
368.0,1.0,MS,3,Internode,enclosed,0.00025
368.0,1.0,MS,3,Lamina,exposed,0.00228
368.0,1.0,MS,3,Sheath,exposed,0.0003232
368.0,1.0,MS,4,Peduncle,exposed,0.000810959
368.0,1.0,MS,4,Peduncle,enclosed,0.00159
368.0,1.0,MS,5,Chaff,exposed,0.000506101285714
369.0,1.0,MS,1,Internode,exposed,0.000371
369.0,1.0,MS,1,Internode,enclosed,0.001129
369.0,1.0,MS,1,Lamina,exposed,0.00346
369.0,1.0,MS,1,Sheath,exposed,0.0006
369.0,1.0,MS,2,Internode,enclosed,0.0004
369.0,1.0,MS,2,Lamina,exposed,0.0034
369.0,1.0,MS,2,Sheath,exposed,0.0005
369.0,1.0,MS,3,Internode,enclosed,0.00025
369.0,1.0,MS,3,Lamina,exposed,0.00228
369.0,1.0,MS,3,Sheath,exposed,0.0003232
369.0,1.0,MS,4,Peduncle,exposed,0.000810959
369.0,1.0,MS,4,Peduncle,enclosed,0.00159
369.0,1.0,MS,5,Chaff,exposed,0.000504894
370.0,1.0,MS,1,Internode,exposed,0.000371
370.0,1.0,MS,1,Internode,enclosed,0.001129
370.0,1.0,MS,1,Lamina,exposed,0.00346
370.0,1.0,MS,1,Sheath,exposed,0.0006
370.0,1.0,MS,2,Internode,enclosed,0.0004
370.0,1.0,MS,2,Lamina,exposed,0.0034
370.0,1.0,MS,2,Sheath,exposed,0.0005
370.0,1.0,MS,3,Internode,enclosed,0.00025
370.0,1.0,MS,3,Lamina,exposed,0.00228
370.0,1.0,MS,3,Sheath,exposed,0.0003232
370.0,1.0,MS,4,Peduncle,exposed,0.000810959
370.0,1.0,MS,4,Peduncle,enclosed,0.00159
370.0,1.0,MS,5,Chaff,exposed,0.000503507333333
371.0,1.0,MS,1,Internode,exposed,0.000371
371.0,1.0,MS,1,Internode,enclosed,0.001129
371.0,1.0,MS,1,Lamina,exposed,0.00346
371.0,1.0,MS,1,Sheath,exposed,0.0006
371.0,1.0,MS,2,Internode,enclosed,0.0004
371.0,1.0,MS,2,Lamina,exposed,0.0034
371.0,1.0,MS,2,Sheath,exposed,0.0005
371.0,1.0,MS,3,Internode,enclosed,0.00025
371.0,1.0,MS,3,Lamina,exposed,0.00228
371.0,1.0,MS,3,Sheath,exposed,0.0003232
371.0,1.0,MS,4,Peduncle,exposed,0.000810959
371.0,1.0,MS,4,Peduncle,enclosed,0.00159
371.0,1.0,MS,5,Chaff,exposed,0.000502120666667
372.0,1.0,MS,1,Internode,exposed,0.000371
372.0,1.0,MS,1,Internode,enclosed,0.001129
372.0,1.0,MS,1,Lamina,exposed,0.00346
372.0,1.0,MS,1,Sheath,exposed,0.0006
372.0,1.0,MS,2,Internode,enclosed,0.0004
372.0,1.0,MS,2,Lamina,exposed,0.0034
372.0,1.0,MS,2,Sheath,exposed,0.0005
372.0,1.0,MS,3,Internode,enclosed,0.00025
372.0,1.0,MS,3,Lamina,exposed,0.00228
372.0,1.0,MS,3,Sheath,exposed,0.0003232
372.0,1.0,MS,4,Peduncle,exposed,0.000810959
372.0,1.0,MS,4,Peduncle,enclosed,0.00159
372.0,1.0,MS,5,Chaff,exposed,0.000500734
373.0,1.0,MS,1,Internode,exposed,0.000371
373.0,1.0,MS,1,Internode,enclosed,0.001129
373.0,1.0,MS,1,Lamina,exposed,0.00346
373.0,1.0,MS,1,Sheath,exposed,0.0006
373.0,1.0,MS,2,Internode,enclosed,0.0004
373.0,1.0,MS,2,Lamina,exposed,0.0034
373.0,1.0,MS,2,Sheath,exposed,0.0005
373.0,1.0,MS,3,Internode,enclosed,0.00025
373.0,1.0,MS,3,Lamina,exposed,0.00228
373.0,1.0,MS,3,Sheath,exposed,0.0003232
373.0,1.0,MS,4,Peduncle,exposed,0.000810959
373.0,1.0,MS,4,Peduncle,enclosed,0.00159
373.0,1.0,MS,5,Chaff,exposed,0.000499347333333
374.0,1.0,MS,1,Internode,exposed,0.000371
374.0,1.0,MS,1,Internode,enclosed,0.001129
374.0,1.0,MS,1,Lamina,exposed,0.00346
374.0,1.0,MS,1,Sheath,exposed,0.0006
374.0,1.0,MS,2,Internode,enclosed,0.0004
374.0,1.0,MS,2,Lamina,exposed,0.0034
374.0,1.0,MS,2,Sheath,exposed,0.0005
374.0,1.0,MS,3,Internode,enclosed,0.00025
374.0,1.0,MS,3,Lamina,exposed,0.00228
374.0,1.0,MS,3,Sheath,exposed,0.0003232
374.0,1.0,MS,4,Peduncle,exposed,0.000810959
374.0,1.0,MS,4,Peduncle,enclosed,0.00159
374.0,1.0,MS,5,Chaff,exposed,0.000497960666667
375.0,1.0,MS,1,Internode,exposed,0.000371
375.0,1.0,MS,1,Internode,enclosed,0.001129
375.0,1.0,MS,1,Lamina,exposed,0.00346
375.0,1.0,MS,1,Sheath,exposed,0.0006
375.0,1.0,MS,2,Internode,enclosed,0.0004
375.0,1.0,MS,2,Lamina,exposed,0.0034
375.0,1.0,MS,2,Sheath,exposed,0.0005
375.0,1.0,MS,3,Internode,enclosed,0.00025
375.0,1.0,MS,3,Lamina,exposed,0.00228
375.0,1.0,MS,3,Sheath,exposed,0.0003232
375.0,1.0,MS,4,Peduncle,exposed,0.000810959
375.0,1.0,MS,4,Peduncle,enclosed,0.00159
375.0,1.0,MS,5,Chaff,exposed,0.000496574
376.0,1.0,MS,1,Internode,exposed,0.000371
376.0,1.0,MS,1,Internode,enclosed,0.001129
376.0,1.0,MS,1,Lamina,exposed,0.00346
376.0,1.0,MS,1,Sheath,exposed,0.0006
376.0,1.0,MS,2,Internode,enclosed,0.0004
376.0,1.0,MS,2,Lamina,exposed,0.0034
376.0,1.0,MS,2,Sheath,exposed,0.0005
376.0,1.0,MS,3,Internode,enclosed,0.00025
376.0,1.0,MS,3,Lamina,exposed,0.00228
376.0,1.0,MS,3,Sheath,exposed,0.0003232
376.0,1.0,MS,4,Peduncle,exposed,0.000810959
376.0,1.0,MS,4,Peduncle,enclosed,0.00159
376.0,1.0,MS,5,Chaff,exposed,0.000495289666667
377.0,1.0,MS,1,Internode,exposed,0.000371
377.0,1.0,MS,1,Internode,enclosed,0.001129
377.0,1.0,MS,1,Lamina,exposed,0.00346
377.0,1.0,MS,1,Sheath,exposed,0.0006
