t,plant,axis,Total_transpiration
398.000000,1,MS,0.047474
399.000000,1,MS,0.047474
400.000000,1,MS,0.037502
401.000000,1,MS,0.037502
402.000000,1,MS,0.021987
403.000000,1,MS,0.021987
404.000000,1,MS,0.014290
405.000000,1,MS,0.014290
406.000000,1,MS,0.010082
407.000000,1,MS,0.010082
408.000000,1,MS,0.005101
409.000000,1,MS,0.005101
410.000000,1,MS,0.005385
411.000000,1,MS,0.005385
412.000000,1,MS,0.007101
413.000000,1,MS,0.007101
414.000000,1,MS,0.019080
415.000000,1,MS,0.019080
416.000000,1,MS,0.032064
417.000000,1,MS,0.032064
418.000000,1,MS,0.044559
419.000000,1,MS,0.044559
420.000000,1,MS,0.049665
421.000000,1,MS,0.049665
422.000000,1,MS,0.042999
423.000000,1,MS,0.042999
424.000000,1,MS,0.015949
425.000000,1,MS,0.015949
426.000000,1,MS,0.005743
427.000000,1,MS,0.005743
428.000000,1,MS,0.004297
429.000000,1,MS,0.004297
430.000000,1,MS,0.004177
431.000000,1,MS,0.004177
432.000000,1,MS,0.002327
433.000000,1,MS,0.002327
434.000000,1,MS,0.001165
435.000000,1,MS,0.001165
436.000000,1,MS,0.000907
437.000000,1,MS,0.000907
438.000000,1,MS,0.012085
439.000000,1,MS,0.012085
440.000000,1,MS,0.021695
441.000000,1,MS,0.021695
442.000000,1,MS,0.028071
443.000000,1,MS,0.028071
444.000000,1,MS,0.032608
445.000000,1,MS,0.032608
446.000000,1,MS,0.030793
447.000000,1,MS,0.030793
448.000000,1,MS,0.026214
449.000000,1,MS,0.026214
450.000000,1,MS,0.014535
451.000000,1,MS,0.014535
452.000000,1,MS,0.004947
453.000000,1,MS,0.004947
454.000000,1,MS,0.002332
455.000000,1,MS,0.002332
456.000000,1,MS,0.004711
457.000000,1,MS,0.004711
458.000000,1,MS,0.004334
459.000000,1,MS,0.004334
460.000000,1,MS,0.003211
461.000000,1,MS,0.003211
462.000000,1,MS,0.005972
463.000000,1,MS,0.005972
464.000000,1,MS,0.010538
465.000000,1,MS,0.010538
466.000000,1,MS,0.010687
467.000000,1,MS,0.010687
468.000000,1,MS,0.020496
469.000000,1,MS,0.020496
470.000000,1,MS,0.016030
471.000000,1,MS,0.016030
472.000000,1,MS,0.009595
473.000000,1,MS,0.009595
474.000000,1,MS,0.007497
475.000000,1,MS,0.007497
476.000000,1,MS,0.004750
477.000000,1,MS,0.004750
478.000000,1,MS,0.004305
479.000000,1,MS,0.004305
480.000000,1,MS,0.001524
481.000000,1,MS,0.001524
482.000000,1,MS,0.000591
483.000000,1,MS,0.000591
484.000000,1,MS,0.000705
485.000000,1,MS,0.000705
486.000000,1,MS,0.006079
487.000000,1,MS,0.006079
488.000000,1,MS,0.015544
489.000000,1,MS,0.015544
490.000000,1,MS,0.026306
491.000000,1,MS,0.026306
492.000000,1,MS,0.021866
493.000000,1,MS,0.021866
494.000000,1,MS,0.033362
495.000000,1,MS,0.033362
496.000000,1,MS,0.018198
497.000000,1,MS,0.018198
498.000000,1,MS,0.007572
499.000000,1,MS,0.007572
500.000000,1,MS,0.001738
501.000000,1,MS,0.001738
502.000000,1,MS,0.001551
503.000000,1,MS,0.001551
504.000000,1,MS,0.001355
505.000000,1,MS,0.001355
506.000000,1,MS,0.001131
507.000000,1,MS,0.001131
508.000000,1,MS,0.001062
509.000000,1,MS,0.001062
510.000000,1,MS,0.002018
511.000000,1,MS,0.002018
512.000000,1,MS,0.005349
513.000000,1,MS,0.005349
514.000000,1,MS,0.005946
515.000000,1,MS,0.005946
516.000000,1,MS,0.005860
517.000000,1,MS,0.005860
518.000000,1,MS,0.005068
519.000000,1,MS,0.005068
520.000000,1,MS,0.006503
521.000000,1,MS,0.006503
522.000000,1,MS,0.002705
523.000000,1,MS,0.002705
524.000000,1,MS,0.002016
525.000000,1,MS,0.002016
526.000000,1,MS,0.001660
527.000000,1,MS,0.001660
528.000000,1,MS,0.004094
529.000000,1,MS,0.004094
530.000000,1,MS,0.001793
531.000000,1,MS,0.001793
532.000000,1,MS,0.001641
533.000000,1,MS,0.001641
534.000000,1,MS,0.010786
535.000000,1,MS,0.010786
536.000000,1,MS,0.020325
537.000000,1,MS,0.020325
538.000000,1,MS,0.027549
539.000000,1,MS,0.027549
540.000000,1,MS,0.033083
541.000000,1,MS,0.033083
542.000000,1,MS,0.023165
543.000000,1,MS,0.023165
544.000000,1,MS,0.022129
545.000000,1,MS,0.022129
546.000000,1,MS,0.013808
547.000000,1,MS,0.013808
548.000000,1,MS,0.010613
549.000000,1,MS,0.010613
550.000000,1,MS,0.005142
551.000000,1,MS,0.005142
552.000000,1,MS,0.002411
553.000000,1,MS,0.002411
554.000000,1,MS,0.001510
555.000000,1,MS,0.001510
556.000000,1,MS,0.002424
557.000000,1,MS,0.002424
558.000000,1,MS,0.010354
559.000000,1,MS,0.010354
560.000000,1,MS,0.016088
561.000000,1,MS,0.016088
562.000000,1,MS,0.019467
563.000000,1,MS,0.019467
564.000000,1,MS,0.023688
565.000000,1,MS,0.023688
566.000000,1,MS,0.019473
567.000000,1,MS,0.019473
568.000000,1,MS,0.016547
569.000000,1,MS,0.016547
570.000000,1,MS,0.010076
571.000000,1,MS,0.010076
572.000000,1,MS,0.003502
573.000000,1,MS,0.003502
574.000000,1,MS,0.003651
575.000000,1,MS,0.003651
576.000000,1,MS,0.002055
577.000000,1,MS,0.002055
578.000000,1,MS,0.001076
579.000000,1,MS,0.001076
580.000000,1,MS,0.001076
581.000000,1,MS,0.001076
582.000000,1,MS,0.007759
583.000000,1,MS,0.007759
584.000000,1,MS,0.013838
585.000000,1,MS,0.013838
586.000000,1,MS,0.018460
587.000000,1,MS,0.018460
588.000000,1,MS,0.019118
589.000000,1,MS,0.019118
590.000000,1,MS,0.021653
591.000000,1,MS,0.021653
592.000000,1,MS,0.015592
593.000000,1,MS,0.015592
594.000000,1,MS,0.009625
595.000000,1,MS,0.009625
596.000000,1,MS,0.004043
597.000000,1,MS,0.004043
598.000000,1,MS,0.003229
599.000000,1,MS,0.003229
600.000000,1,MS,0.000537
601.000000,1,MS,0.000537
602.000000,1,MS,0.000278
603.000000,1,MS,0.000278
604.000000,1,MS,0.000546
605.000000,1,MS,0.000546
606.000000,1,MS,0.004674
607.000000,1,MS,0.004674
608.000000,1,MS,0.011526
609.000000,1,MS,0.011526
610.000000,1,MS,0.015682
611.000000,1,MS,0.015682
612.000000,1,MS,0.017686
613.000000,1,MS,0.017686
614.000000,1,MS,0.017288
615.000000,1,MS,0.017288
616.000000,1,MS,0.014496
617.000000,1,MS,0.014496
618.000000,1,MS,0.007335
619.000000,1,MS,0.007335
620.000000,1,MS,0.002178
621.000000,1,MS,0.002178
622.000000,1,MS,0.001155
623.000000,1,MS,0.001155
624.000000,1,MS,0.000731
625.000000,1,MS,0.000731
626.000000,1,MS,0.000416
627.000000,1,MS,0.000416
628.000000,1,MS,0.000478
629.000000,1,MS,0.000478
630.000000,1,MS,0.003849
631.000000,1,MS,0.003849
632.000000,1,MS,0.008794
633.000000,1,MS,0.008794
634.000000,1,MS,0.010226
635.000000,1,MS,0.010226
636.000000,1,MS,0.011819
637.000000,1,MS,0.011819
638.000000,1,MS,0.005823
639.000000,1,MS,0.005823
640.000000,1,MS,0.006856
641.000000,1,MS,0.006856
642.000000,1,MS,0.005411
643.000000,1,MS,0.005411
644.000000,1,MS,0.002457
645.000000,1,MS,0.002457
646.000000,1,MS,0.001933
647.000000,1,MS,0.001933
648.000000,1,MS,0.002626
649.000000,1,MS,0.002626
650.000000,1,MS,0.001003
651.000000,1,MS,0.001003
652.000000,1,MS,0.001340
653.000000,1,MS,0.001340
654.000000,1,MS,0.006918
655.000000,1,MS,0.006918
656.000000,1,MS,0.011795
657.000000,1,MS,0.011795
658.000000,1,MS,0.009327
659.000000,1,MS,0.009327
660.000000,1,MS,0.006462
661.000000,1,MS,0.006462
662.000000,1,MS,0.010257
663.000000,1,MS,0.010257
664.000000,1,MS,0.006599
665.000000,1,MS,0.006599
666.000000,1,MS,0.005458
667.000000,1,MS,0.005458
668.000000,1,MS,0.002157
669.000000,1,MS,0.002157
670.000000,1,MS,0.001352
671.000000,1,MS,0.001352
672.000000,1,MS,0.000992
673.000000,1,MS,0.000992
674.000000,1,MS,0.001199
675.000000,1,MS,0.001199
676.000000,1,MS,0.001519
677.000000,1,MS,0.001519
678.000000,1,MS,0.002412
679.000000,1,MS,0.002412
680.000000,1,MS,0.003214
681.000000,1,MS,0.003214
682.000000,1,MS,0.003143
683.000000,1,MS,0.003143
684.000000,1,MS,0.005315
685.000000,1,MS,0.005315
686.000000,1,MS,0.005383
687.000000,1,MS,0.005383
688.000000,1,MS,0.004624
689.000000,1,MS,0.004624
690.000000,1,MS,0.004082
691.000000,1,MS,0.004082
692.000000,1,MS,0.000981
693.000000,1,MS,0.000981
694.000000,1,MS,0.000514
695.000000,1,MS,0.000514
696.000000,1,MS,0.000366
697.000000,1,MS,0.000366
698.000000,1,MS,0.000327
699.000000,1,MS,0.000327
700.000000,1,MS,0.000440
701.000000,1,MS,0.000440
702.000000,1,MS,0.003119
703.000000,1,MS,0.003119
704.000000,1,MS,0.007830
705.000000,1,MS,0.007830
706.000000,1,MS,0.009893
707.000000,1,MS,0.009893
708.000000,1,MS,0.010937
709.000000,1,MS,0.010937
710.000000,1,MS,0.011466
711.000000,1,MS,0.011466
712.000000,1,MS,0.008837
713.000000,1,MS,0.008837
714.000000,1,MS,0.004555
715.000000,1,MS,0.004555
716.000000,1,MS,0.001975
717.000000,1,MS,0.001975
718.000000,1,MS,0.000824
719.000000,1,MS,0.000824
720.000000,1,MS,0.000605
721.000000,1,MS,0.000605
722.000000,1,MS,0.000355
723.000000,1,MS,0.000355
724.000000,1,MS,0.000532
725.000000,1,MS,0.000532
726.000000,1,MS,0.003700
727.000000,1,MS,0.003700
728.000000,1,MS,0.005568
729.000000,1,MS,0.005568
730.000000,1,MS,0.008429
731.000000,1,MS,0.008429
732.000000,1,MS,0.009505
733.000000,1,MS,0.009505
734.000000,1,MS,0.008730
735.000000,1,MS,0.008730
736.000000,1,MS,0.005521
737.000000,1,MS,0.005521
738.000000,1,MS,0.003460
739.000000,1,MS,0.003460
740.000000,1,MS,0.001564
741.000000,1,MS,0.001564
742.000000,1,MS,0.001401
743.000000,1,MS,0.001401
744.000000,1,MS,0.000472
745.000000,1,MS,0.000472
746.000000,1,MS,0.000400
747.000000,1,MS,0.000400
748.000000,1,MS,0.000502
749.000000,1,MS,0.000502
750.000000,1,MS,0.003804
751.000000,1,MS,0.003804
752.000000,1,MS,0.008135
753.000000,1,MS,0.008135
754.000000,1,MS,0.009914
755.000000,1,MS,0.009914
756.000000,1,MS,0.010477
757.000000,1,MS,0.010477
758.000000,1,MS,0.009995
759.000000,1,MS,0.009995
760.000000,1,MS,0.007725
761.000000,1,MS,0.007725
762.000000,1,MS,0.003870
763.000000,1,MS,0.003870
764.000000,1,MS,0.001822
765.000000,1,MS,0.001822
766.000000,1,MS,0.000867
767.000000,1,MS,0.000867
768.000000,1,MS,0.000361
769.000000,1,MS,0.000361
770.000000,1,MS,0.000283
771.000000,1,MS,0.000283
772.000000,1,MS,0.000434
773.000000,1,MS,0.000434
774.000000,1,MS,0.002456
775.000000,1,MS,0.002456
776.000000,1,MS,0.005402
777.000000,1,MS,0.005402
778.000000,1,MS,0.008987
779.000000,1,MS,0.008987
780.000000,1,MS,0.009309
781.000000,1,MS,0.009309
782.000000,1,MS,0.010491
783.000000,1,MS,0.010491
784.000000,1,MS,0.009611
785.000000,1,MS,0.009611
786.000000,1,MS,0.006200
787.000000,1,MS,0.006200
788.000000,1,MS,0.001428
789.000000,1,MS,0.001428
790.000000,1,MS,0.001770
791.000000,1,MS,0.001770
792.000000,1,MS,0.000345
793.000000,1,MS,0.000345
794.000000,1,MS,0.000482
795.000000,1,MS,0.000482
796.000000,1,MS,0.000526
797.000000,1,MS,0.000526
798.000000,1,MS,0.001431
799.000000,1,MS,0.001431
800.000000,1,MS,0.001960
801.000000,1,MS,0.001960
802.000000,1,MS,0.002799
803.000000,1,MS,0.002799
804.000000,1,MS,0.003467
805.000000,1,MS,0.003467
806.000000,1,MS,0.003447
807.000000,1,MS,0.003447
808.000000,1,MS,0.003181
809.000000,1,MS,0.003181
810.000000,1,MS,0.001733
811.000000,1,MS,0.001733
812.000000,1,MS,0.000671
813.000000,1,MS,0.000671
814.000000,1,MS,0.000394
815.000000,1,MS,0.000394
816.000000,1,MS,0.000144
817.000000,1,MS,0.000144
818.000000,1,MS,0.000150
819.000000,1,MS,0.000150
820.000000,1,MS,0.000199
821.000000,1,MS,0.000199
822.000000,1,MS,0.001353
823.000000,1,MS,0.001353
824.000000,1,MS,0.003029
825.000000,1,MS,0.003029
826.000000,1,MS,0.004568
827.000000,1,MS,0.004568
828.000000,1,MS,0.005372
829.000000,1,MS,0.005372
830.000000,1,MS,0.005671
831.000000,1,MS,0.005671
832.000000,1,MS,0.004822
833.000000,1,MS,0.004822
834.000000,1,MS,0.002419
835.000000,1,MS,0.002419
836.000000,1,MS,0.000525
837.000000,1,MS,0.000525
838.000000,1,MS,0.000354
839.000000,1,MS,0.000354
840.000000,1,MS,0.000093
841.000000,1,MS,0.000093
842.000000,1,MS,0.000174
843.000000,1,MS,0.000174
844.000000,1,MS,0.000105
845.000000,1,MS,0.000105
846.000000,1,MS,0.000469
847.000000,1,MS,0.000469
848.000000,1,MS,0.001077
849.000000,1,MS,0.001077
850.000000,1,MS,0.002399
851.000000,1,MS,0.002399
852.000000,1,MS,0.002654
853.000000,1,MS,0.002654
854.000000,1,MS,0.002783
855.000000,1,MS,0.002783
856.000000,1,MS,0.002362
857.000000,1,MS,0.002362
858.000000,1,MS,0.001187
859.000000,1,MS,0.001187
860.000000,1,MS,0.000317
861.000000,1,MS,0.000317
862.000000,1,MS,0.000117
863.000000,1,MS,0.000117
864.000000,1,MS,0.000280
865.000000,1,MS,0.000280
866.000000,1,MS,0.000268
867.000000,1,MS,0.000268
868.000000,1,MS,0.000225
869.000000,1,MS,0.000225
870.000000,1,MS,0.000757
871.000000,1,MS,0.000757
872.000000,1,MS,0.000972
873.000000,1,MS,0.000972
874.000000,1,MS,0.001227
875.000000,1,MS,0.001227
876.000000,1,MS,0.001530
877.000000,1,MS,0.001530
878.000000,1,MS,0.001606
879.000000,1,MS,0.001606
880.000000,1,MS,0.001083
881.000000,1,MS,0.001083
882.000000,1,MS,0.000439
883.000000,1,MS,0.000439
884.000000,1,MS,0.000228
885.000000,1,MS,0.000228
886.000000,1,MS,0.000195
887.000000,1,MS,0.000195
888.000000,1,MS,0.000019
889.000000,1,MS,0.000019
890.000000,1,MS,0.000020
891.000000,1,MS,0.000020
892.000000,1,MS,0.000052
893.000000,1,MS,0.000052
894.000000,1,MS,0.000408
895.000000,1,MS,0.000408
896.000000,1,MS,0.000709
897.000000,1,MS,0.000709
