t,plant,axis,metamer,organ,element,Nstruct,green_area,mstruct
38,1,MS,4,blade,LeafElement1,6.89E-05,7.75E-05,0.002139732
39,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
39,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
39,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
39,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
39,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
39,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
39,1,MS,4,blade,LeafElement1,7.22E-05,8.12E-05,0.002240842
40,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
40,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
40,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
40,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
40,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
40,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
40,1,MS,4,blade,LeafElement1,7.56E-05,8.51E-05,0.002347696
41,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
41,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
41,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
41,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
41,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
41,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
41,1,MS,4,blade,LeafElement1,7.90E-05,8.89E-05,0.002453056
42,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
42,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
42,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
42,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
42,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
42,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
42,1,MS,4,blade,LeafElement1,8.25E-05,9.28E-05,0.002560561
43,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
43,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
43,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
43,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
43,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
43,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
43,1,MS,4,blade,LeafElement1,8.60E-05,9.67E-05,0.002670216
44,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
44,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
44,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
44,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
44,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
44,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
44,1,MS,4,blade,LeafElement1,8.96E-05,0.000100798,0.002782024
45,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
45,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
45,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
45,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
45,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
45,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
45,1,MS,4,blade,LeafElement1,9.31E-05,0.000104798,0.002892419
46,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
46,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
46,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
46,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
46,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
46,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
46,1,MS,4,blade,LeafElement1,9.69E-05,0.000109005,0.003008531
47,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
47,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
47,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
47,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
47,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
47,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
47,1,MS,4,blade,LeafElement1,0.000100684,0.000113291,0.003126824
48,1,MS,1,blade,LeafElement1,0.00054,0.000294284,0.018
48,1,MS,1,sheath,StemElement,0.0003,0.000174251,0.01
48,1,MS,2,blade,LeafElement1,0.0006,0.00028853,0.02
48,1,MS,2,sheath,StemElement,0.00036,1.26E-06,0.012
48,1,MS,3,blade,LeafElement1,0.00066,0.000229007,0.022
48,1,MS,3,sheath,StemElement,0.00042,4.06E-06,0.014
48,1,MS,4,blade,LeafElement1,0.000104563,0.000117656,0.003247295
