t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
212.000000,1,MS,1.000000,15.000000,37106.487882,37106.487882
213.000000,1,MS,1.000000,15.000000,36350.871474,36350.871474
214.000000,1,MS,1.000000,15.000000,35601.853363,35601.853363
215.000000,1,MS,1.000000,15.000000,34860.021901,34860.021901
216.000000,1,MS,1.000000,15.000000,34124.875463,34124.875463
217.000000,1,MS,1.000000,15.000000,33396.937370,33396.937370
218.000000,1,MS,1.000000,15.000000,32675.682261,32675.682261
219.000000,1,MS,1.000000,15.000000,31961.753267,31961.753267
220.000000,1,MS,1.000000,15.000000,31254.775669,31254.775669
221.000000,1,MS,1.000000,15.000000,30555.265873,30555.265873
222.000000,1,MS,1.000000,15.000000,29862.767362,29862.767362
223.000000,1,MS,1.000000,15.000000,29177.393428,29177.393428
224.000000,1,MS,1.000000,15.000000,28498.343984,28498.343984
225.000000,1,MS,1.000000,15.000000,27825.983895,27825.983895
226.000000,1,MS,1.000000,15.000000,27159.784348,27159.784348
227.000000,1,MS,1.000000,15.000000,26500.240951,26500.240951
228.000000,1,MS,1.000000,15.000000,25846.987840,25846.987840
229.000000,1,MS,1.000000,15.000000,25200.329968,25200.329968
230.000000,1,MS,1.000000,15.000000,24559.761020,24559.761020
231.000000,1,MS,1.000000,15.000000,23925.831209,23925.831209
232.000000,1,MS,1.000000,15.000000,23298.302891,23298.302891
233.000000,1,MS,1.000000,15.000000,22677.793505,22677.793505
234.000000,1,MS,1.000000,15.000000,22064.168378,22064.168378
235.000000,1,MS,1.000000,15.000000,21458.184122,21458.184122
236.000000,1,MS,1.000000,15.000000,20859.870691,20859.870691
237.000000,1,MS,1.000000,15.000000,20270.091939,20270.091939
238.000000,1,MS,1.000000,15.000000,19689.005618,19689.005618
239.000000,1,MS,1.000000,15.000000,19117.110521,19117.110521
240.000000,1,MS,1.000000,15.000000,18554.260173,18554.260173
241.000000,1,MS,1.000000,15.000000,18001.005668,18001.005668
242.000000,1,MS,1.000000,15.000000,17457.278646,17457.278646
243.000000,1,MS,1.000000,15.000000,16923.419750,16923.419750
244.000000,1,MS,1.000000,15.000000,16399.201717,16399.201717
245.000000,1,MS,1.000000,15.000000,15884.942485,15884.942485
246.000000,1,MS,1.000000,15.000000,15380.425730,15380.425730
247.000000,1,MS,1.000000,15.000000,14885.620621,14885.620621
248.000000,1,MS,1.000000,15.000000,14400.027919,14400.027919
249.000000,1,MS,1.000000,15.000000,13923.754905,13923.754905
250.000000,1,MS,1.000000,15.000000,13456.458238,13456.458238
251.000000,1,MS,1.000000,15.000000,12998.382269,12998.382269
252.000000,1,MS,1.000000,15.000000,12549.338965,12549.338965
253.000000,1,MS,1.000000,15.000000,12109.825285,12109.825285
254.000000,1,MS,1.000000,15.000000,11679.904383,11679.904383
255.000000,1,MS,1.000000,15.000000,11259.732322,11259.732322
256.000000,1,MS,1.000000,15.000000,10849.096491,10849.096491
257.000000,1,MS,1.000000,15.000000,10448.149107,10448.149107
258.000000,1,MS,1.000000,15.000000,10056.697574,10056.697574
259.000000,1,MS,1.000000,15.000000,9675.086159,9675.086159
260.000000,1,MS,1.000000,15.000000,9303.312751,9303.312751
261.000000,1,MS,1.000000,15.000000,8941.638802,8941.638802
262.000000,1,MS,1.000000,15.000000,8590.008460,8590.008460
263.000000,1,MS,1.000000,15.000000,8248.539763,8248.539763
264.000000,1,MS,1.000000,15.000000,7917.069751,7917.069751
265.000000,1,MS,1.000000,15.000000,7595.641978,7595.641978
266.000000,1,MS,1.000000,15.000000,7284.047094,7284.047094
267.000000,1,MS,1.000000,15.000000,6982.278365,6982.278365
268.000000,1,MS,1.000000,15.000000,6690.100984,6690.100984
269.000000,1,MS,1.000000,15.000000,6407.468617,6407.468617
270.000000,1,MS,1.000000,15.000000,6134.129396,6134.129396
271.000000,1,MS,1.000000,15.000000,5869.949740,5869.949740
272.000000,1,MS,1.000000,15.000000,5614.619724,5614.619724
273.000000,1,MS,1.000000,15.000000,5367.989032,5367.989032
274.000000,1,MS,1.000000,15.000000,5129.750164,5129.750164
275.000000,1,MS,1.000000,15.000000,4899.836782,4899.836782
